"※リンクには画像ファイルの名前を書いてください（画像ファイルの拡張子はjpg,pngのみ、ファイル名は大文字を除く半角英数字、拡張子は書かないでください）",,,,,,,
番号,名前,読み,所属,リンク1,リンク2,説明,タグ
76,久保 建英,くぼ たけふさ,日本のサッカー選手。FW、MF。「和製メッシ」、「左利きのイニエスタ」と称されることもある。,kubo_take1,kubo_take2,,人物、スポーツ選手、サッカー
77,香川 真司,かがわ しんじ,日本のサッカー選手。MF、FW,kagawa_s1,kagawa_s2,,人物、スポーツ選手、サッカー
78,原口 元気,はらぐち げんき,日本のサッカー選手。運動量豊富で機動力が高い。,hara_gen1,hara_gen2,,人物、スポーツ選手、サッカー
79,長谷部 誠,はせべ まこと,日本のサッカー選手。MF、DF,hase_m1,hase_m2,,人物、スポーツ選手、サッカー
80,乾 貴士,いぬい たかし,日本のサッカー選手。MF、FW,inui_t1,inui_t2,,人物、スポーツ選手、サッカー
81,酒井 高徳,さかい ごうとく,サッカー選手。SB。日本人の父親とドイツ人の母親との間に生まれる。,saka_go1,saka_go2,,人物、スポーツ選手、サッカー
82,中村 俊輔,なかむら しゅんすけ,日本のサッカー選手。MF,naka_syun1,naka_syun2,,人物、スポーツ選手、サッカー
83,中山 雅史,なかやま まさし,日本のサッカー選手。「ゴン中山」の愛称で知られる。,naka_gon1,naka_gon2,,人物、スポーツ選手、サッカー
84,ゆっこ（相生 祐子）,あいおい ゆうこ,「日常」,yukko1,yukko2,,アニメ
85,みおちゃん（長野原 みお）,ながのはら みお,「日常」,mio1,mio2,,アニメ
86,まいちゃん（水上 麻衣）,みなかみ まい,「日常」,mai1,mai2,,アニメ
87,アミバ,,「北斗の拳」,amiba1,amiba2,,アニメ
88,ユリア,,「北斗の拳」,yuria1,yuria2,,アニメ
89,バット,,「北斗の拳」,bat1,bat2,,アニメ
90,ジャギ,,「北斗の拳」,jagi1,jagi2,,アニメ
91,ユダ,,「北斗の拳」,yuda1,yuda2,,アニメ
92,トキ,,「北斗の拳」,toki1,toki2,,アニメ
93,シン,,「北斗の拳」,sin1,sin2,,アニメ、ニッチ
94,レイ,,「北斗の拳」,rei1,rei2,,アニメ
95,サウザー,,「北斗の拳」,sauser1,sauser2,,アニメ
96,シュウ,,「北斗の拳」,syuu1,syuu2,,アニメ、ニッチ
97,涼風 青葉,すずかぜ あおば,「NEW GAME!」,suzukaze1,suzukaze2,,アニメ
98,八神 コウ,,「NEW GAME!」,yagami1,yagami2,,アニメ、ニッチ
99,遠山りん,,「NEW GAME!」,tooyama1,tooyama2,,アニメ、ニッチ
100,滝本 ひふみ,,「NEW GAME!」,takimoto1,takimoto2,,アニメ、ニッチ
101,篠田 はじめ,しのだ はじめ,「NEW GAME!」,shinoda1,shinoda2,,アニメ、ニッチ
102,飯島 ゆん,いいじま ゆん,「NEW GAME!」,iijima1,iijima2,,アニメ、ニッチ
103,阿波根 うみこ,あはごん うみこ,「NEW GAME!」,ahagon1,ahagon2,,アニメ、ニッチ
104,工藤 涯,くどう がい,「無頼伝 涯」,gai1,gai2,,アニメ
105,安部 守宏,あべ もりひろ,「無頼伝 涯」,abemorihiro1,abemorihiro2,,アニメ、ニッチ
106,澤井,,「無頼伝 涯」,sawai1,sawai2,,アニメ、ニッチ
107,伊藤 開司,いとう かいじ,「賭博黙示録カイジ」など,kaiji1,kaiji2,,アニメ
108,ジャガージュン市,,ピューと吹く!ジャガー,jager_jun1,jager_jun2,,アニメ
109,ブラック・ジャック（間 黒男）,はざま くろお,医療漫画「ブラック・ジャック」,black1,black2,,アニメ
110,ピノコ,,医療漫画「ブラック・ジャック」,pinoko1,pinoko2,,アニメ
111,ドクターキリコ,,医療漫画「ブラック・ジャック」,kiriko1,kiriko2,,アニメ、ニッチ
112,ウランちゃん,,「鉄腕アトム」,uran1,uran2,,アニメ
113,お茶の水博士,,「鉄腕アトム」、実は「火の鳥」の猿田彦の子孫という裏設定がある,ochamizu1,ochamizu2,,アニメ
114,天馬博士（天馬午太郎）,,「鉄腕アトム」、アトムの生みの親,tenma1,tenma2,,アニメ
115,矢吹 丈,やぶき じょう,「あしたのジョー」,joe1,joe2,,アニメ
116,丹下 段平,たんげ だんぺい,「あしたのジョー」,tange1,tange2,,アニメ
117,マンモス西,,「あしたのジョー」,manmo1,manmo2,,アニメ
118,力石 徹,りきいし とおる,「あしたのジョー」,rikiishi1,rikiishi2,,アニメ
119,白木 葉子,しらき ようこ,「あしたのジョー」,shira_yo1,shira_yo2,,アニメ
120,ウルフ金串,ウルフ かなぐし,「あしたのジョー」、トリプルクロスカウンターで顎を粉砕された,wolf_k1,wolf_k2,,アニメ、ニッチ
121,ムーミントロール（ムーミン）,,「ムーミン」,mumin1,mumin2,,アニメ
122,スノークのおじょうさん,,「ムーミン」、ムーミントロールのガールフレンド,sunoku_girl1,sunoku_girl2,,アニメ
123,ミイ,,「ムーミン」,mi1,mi2,,アニメ
124,スニフ,,「ムーミン」,sniff1,sniff2,,アニメ
125,スナフキン,,「ムーミン」,snaf1,snaf2,,アニメ
